program;lopnr;female;kull;termin;tnr;status;poang_p;kullnr;ptnr
F;4873;1;19942;19962;7;5;24;3;5
F;4873;1;19942;19971;8;6;31.5;3;6
F;4873;1;19942;19972;9;7;37.5;3;7
F;4873;1;19942;19981;10;8;24;3;8
F;4873;1;19942;19982;11;9;13.5;3;9
F;4873;1;19942;19991;12;9;16.5;3;10
F;4873;1;19942;19992;13;9;30;3;11
F;4873;1;19942;20001;14;9;7.5;3;12
F;4873;1;19942;20002;15;-5;0;3;13
N;4874;0;20102;20102;35;1;26;35;1
N;4874;0;20102;20111;36;2;30;35;2
N;4874;0;20102;20112;37;3;30;35;3
N;4874;0;20102;20121;38;4;33;35;4
N;4874;0;20102;20122;39;5;34.5;35;5
N;4874;0;20102;20131;40;6;37;35;6
N;4874;0;20102;20132;41;7;21;35;7
N;4874;0;20102;20141;42;8;30;35;8
N;4874;0;20102;20142;43;9;10.5;35;9
N;4874;0;20102;20151;44;10;50;35;10
N;4874;0;20102;20152;45;-5;0;35;11
I;4875;0;20092;20092;33;1;30;33;1
I;4875;0;20092;20101;34;2;30;33;2
I;4875;0;20092;20102;35;3;25;33;3
I;4875;0;20092;20111;36;4;33.5;33;4
I;4875;0;20092;20112;37;5;31.5;33;5
I;4875;0;20092;20121;38;6;30;33;6
I;4875;0;20092;20122;39;-3;0;33;7
I;4875;0;20092;20131;40;-3;0;33;8
I;4875;0;20092;20132;41;9;22.5;33;9
I;4875;0;20092;20141;42;10;7.5;33;10
I;4875;0;20092;20142;43;10;22.5;33;11
I;4875;0;20092;20151;44;10;15;33;12
I;4875;0;20092;20152;45;-4;0;33;13
I;4875;0;20092;20161;46;-4;0;33;14
V;4876;0;19972;19972;9;1;25.5;9;1
V;4876;0;19972;19981;10;2;27;9;2
V;4876;0;19972;19982;11;3;10.5;9;3
V;4876;0;19972;19991;12;4;40.5;9;4
V;4876;0;19972;19992;13;5;21;9;5
V;4876;0;19972;20001;14;6;36;9;6
V;4876;0;19972;20002;15;7;28.5;9;7
V;4876;0;19972;20011;16;8;40.5;9;8
V;4876;0;19972;20012;17;9;30;9;9
V;4876;0;19972;20021;18;-5;6;9;10
F;4877;0;20042;20042;23;1;27;23;1
F;4877;0;20042;20051;24;2;33;23;2
F;4877;0;20042;20052;25;3;28.5;23;3
F;4877;0;20042;20061;26;4;4.5;23;4
F;4877;0;20042;20062;27;-4;0;23;5
F;4877;0;20042;20071;28;-4;0;23;6
F;4877;0;20042;20072;29;-4;0;23;7
F;4877;0;20042;20081;30;-4;0;23;8
F;4877;0;20042;20082;31;-4;0;23;9
F;4877;0;20042;20091;32;-4;0;23;10
F;4877;0;20042;20092;33;-4;0;23;11
F;4877;0;20042;20101;34;-4;0;23;12
F;4877;0;20042;20102;35;-4;0;23;13
F;4877;0;20042;20111;36;-7;0;23;14
D;4878;0;20072;20072;29;1;28.5;29;1
D;4878;0;20072;20081;30;2;31.5;29;2
D;4878;0;20072;20082;31;3;27;29;3
D;4878;0;20072;20091;32;4;33.5;29;4
D;4878;0;20072;20092;33;5;24;29;5
D;4878;0;20072;20101;34;6;36;29;6
D;4878;0;20072;20102;35;7;18;29;7
D;4878;0;20072;20111;36;-2;0;29;8
D;4878;0;20072;20112;37;8;45;29;9
D;4878;0;20072;20121;38;9;45;29;10
D;4878;0;20072;20122;39;10;24.5;29;11
D;4878;0;20072;20131;40;-5;30;29;12
L;4879;1;19992;19992;13;1;30;13;1
L;4879;1;19992;20001;14;2;19.5;13;2
L;4879;1;19992;20002;15;2;24;13;3
L;4879;1;19992;20011;16;3;36;13;4
L;4879;1;19992;20012;17;5;22.5;13;5
L;4879;1;19992;20021;18;6;51;13;6
L;4879;1;19992;20022;19;7;28.5;13;7
L;4879;1;19992;20031;20;8;6;13;8
L;4879;1;19992;20032;21;8;33;13;9
L;4879;1;19992;20041;22;-5;36;13;10
C;4880;1;20102;20102;35;1;12;35;1
C;4880;1;20102;20111;36;-2;0;35;2
C;4880;1;20102;20112;37;-2;0;35;3
C;4880;1;20102;20121;38;-4;0;35;4
C;4880;1;20102;20122;39;-7;0;35;5
D;4881;0;20072;20072;29;1;18.5;29;1
D;4881;0;20072;20081;30;2;16;29;2
D;4881;0;20072;20082;31;3;22.5;29;3
D;4881;0;20072;20091;32;4;39;29;4
D;4881;0;20072;20092;33;5;30;29;5
D;4881;0;20072;20101;34;6;21;29;6
D;4881;0;20072;20102;35;7;15;29;7
D;4881;0;20072;20111;36;7;21.5;29;8
D;4881;0;20072;20112;37;8;13.5;29;9
D;4881;0;20072;20121;38;9;43.5;29;10
D;4881;0;20072;20122;39;10;0;29;11
D;4881;0;20072;20131;40;10;27.5;29;12
D;4881;0;20072;20132;41;10;15;29;13
D;4881;0;20072;20141;42;10;6;29;14
D;4881;0;20072;20142;43;-5;30;29;15
M;4882;0;20052;20052;25;1;30;25;1
M;4882;0;20052;20061;26;2;27;25;2
M;4882;0;20052;20062;27;3;30;25;3
M;4882;0;20052;20071;28;4;28.5;25;4
M;4882;0;20052;20072;29;-2;0;25;5
M;4882;0;20052;20081;30;-2;0;25;6
M;4882;0;20052;20082;31;5;29;25;7
M;4882;0;20052;20091;32;6;28.5;25;8
M;4882;0;20052;20092;33;7;39.5;25;9
M;4882;0;20052;20101;34;8;31.5;25;10
M;4882;0;20052;20102;35;9;0;25;11
M;4882;0;20052;20111;36;-5;30;25;12
I;4883;0;19982;19982;11;1;22.5;11;1
I;4883;0;19982;19991;12;2;30;11;2
I;4883;0;19982;19992;13;3;16.5;11;3
I;4883;0;19982;20001;14;4;16.5;11;4
I;4883;0;19982;20002;15;5;18;11;5
I;4883;0;19982;20011;16;6;55.5;11;6
I;4883;0;19982;20012;17;6;19.5;11;7
I;4883;0;19982;20021;18;6;28.5;11;8
I;4883;0;19982;20022;19;7;54;11;9
I;4883;0;19982;20031;20;8;36;11;10
I;4883;0;19982;20032;21;-4;0;11;11
I;4883;0;19982;20041;22;-4;0;11;12
I;4883;0;19982;20042;23;-5;0;11;13
I;4884;1;20132;20132;41;1;30;41;1
I;4884;1;20132;20141;42;2;30;41;2
I;4884;1;20132;20142;43;3;26.5;41;3
I;4884;1;20132;20151;44;4;33.5;41;4
I;4884;1;20132;20152;45;5;24;41;5
I;4884;1;20132;20161;46;6;36;41;6
F;4885;0;20042;20042;23;1;27;23;1
F;4885;0;20042;20051;24;2;33;23;2
F;4885;0;20042;20052;25;3;27;23;3
F;4885;0;20042;20061;26;4;36;23;4
F;4885;0;20042;20062;27;5;24;23;5
F;4885;0;20042;20071;28;6;37.5;23;6
F;4885;0;20042;20072;29;-2;0;23;7
F;4885;0;20042;20081;30;7;22.5;23;8
F;4885;0;20042;20082;31;8;33;23;9
F;4885;0;20042;20091;32;9;0;23;10
F;4885;0;20042;20092;33;-5;30;23;11
M;4886;0;19962;19962;7;1;6;7;1
M;4886;0;19962;19971;8;2;6;7;2
M;4886;0;19962;19972;9;-2;0;7;3
M;4886;0;19962;19981;10;-2;0;7;4
M;4886;0;19962;19982;11;2;16.5;7;5
M;4886;0;19962;19991;12;2;28.5;7;6
M;4886;0;19962;19992;13;3;33;7;7
M;4886;0;19962;20001;14;4;28.5;7;8
M;4886;0;19962;20002;15;5;31.5;7;9
M;4886;0;19962;20011;16;6;39;7;10
M;4886;0;19962;20012;17;7;30;7;11
M;4886;0;19962;20021;18;7;37.5;7;12
M;4886;0;19962;20022;19;7;52.5;7;13
M;4886;0;19962;20031;20;7;4.5;7;14
M;4886;0;19962;20032;21;-4;0;7;15
M;4886;0;19962;20041;22;-4;0;7;16
M;4886;0;19962;20042;23;-4;0;7;17
M;4886;0;19962;20051;24;-4;0;7;18
M;4886;0;19962;20052;25;-4;0;7;19
M;4886;0;19962;20061;26;-4;0;7;20
M;4886;0;19962;20062;27;-4;0;7;21
M;4886;0;19962;20071;28;-4;0;7;22
M;4886;0;19962;20072;29;-4;0;7;23
M;4886;0;19962;20081;30;-5;0;7;24
K;4887;0;19972;19972;9;1;18;9;1
K;4887;0;19972;19981;10;-7;31.5;9;2
E;4888;0;19932;19932;1;1;22.5;1;1
E;4888;0;19932;19941;2;2;30;1;2
E;4888;0;19932;19942;3;3;30;1;3
E;4888;0;19932;19951;4;4;28.5;1;4
E;4888;0;19932;19952;5;5;34.5;1;5
E;4888;0;19932;19961;6;6;36;1;6
E;4888;0;19932;19962;7;7;27;1;7
E;4888;0;19932;19971;8;8;25.5;1;8
E;4888;0;19932;19972;9;-3;0;1;9
E;4888;0;19932;19981;10;-3;7.5;1;10
E;4888;0;19932;19982;11;-4;30;1;11
E;4888;0;19932;19991;12;-5;0;1;12
C;4889;0;20062;20062;27;1;24;27;1
C;4889;0;20062;20071;28;2;30;27;2
C;4889;0;20062;20072;29;3;25.5;27;3
C;4889;0;20062;20081;30;4;34.5;27;4
C;4889;0;20062;20082;31;5;21;27;5
C;4889;0;20062;20091;32;6;40.5;27;6
C;4889;0;20062;20092;33;7;19;27;7
C;4889;0;20062;20101;34;8;45;27;8
C;4889;0;20062;20102;35;9;7.5;27;9
C;4889;0;20062;20111;36;-5;30;27;10
V;4890;0;19932;19932;1;1;15;1;1
V;4890;0;19932;19941;2;2;36;1;2
V;4890;0;19932;19942;3;-7;0;1;3
V;4891;0;19942;19942;3;1;25.5;3;1
V;4891;0;19942;19951;4;2;31.5;3;2
V;4891;0;19942;19952;5;3;31.5;3;3
V;4891;0;19942;19961;6;4;34.5;3;4
V;4891;0;19942;19962;7;5;31.5;3;5
V;4891;0;19942;19971;8;6;31.5;3;6
V;4891;0;19942;19972;9;-3;4.5;3;7
V;4891;0;19942;19981;10;-3;0;3;8
V;4891;0;19942;19982;11;-2;0;3;9
V;4891;0;19942;19991;12;-2;0;3;10
V;4891;0;19942;19992;13;9;10.5;3;11
V;4891;0;19942;20001;14;9;7.5;3;12
V;4891;0;19942;20002;15;-2;0;3;13
V;4891;0;19942;20011;16;9;30;3;14
V;4891;0;19942;20012;17;-5;0;3;15
V;4892;0;19942;19942;3;1;25.5;3;1
V;4892;0;19942;19951;4;2;31.5;3;2
V;4892;0;19942;19952;5;3;27;3;3
V;4892;0;19942;19961;6;4;34.5;3;4
V;4892;0;19942;19962;7;-2;0;3;5
V;4892;0;19942;19971;8;-2;0;3;6
V;4892;0;19942;19972;9;-2;0;3;7
V;4892;0;19942;19981;10;-2;0;3;8
V;4892;0;19942;19982;11;5;36;3;9
V;4892;0;19942;19991;12;6;34.5;3;10
V;4892;0;19942;19992;13;-3;0;3;11
V;4892;0;19942;20001;14;-3;0;3;12
V;4892;0;19942;20002;15;9;16.5;3;13
V;4892;0;19942;20011;16;9;37.5;3;14
V;4892;0;19942;20012;17;-5;0;3;15
W;4893;1;20102;20102;35;1;30;35;1
W;4893;1;20102;20111;36;2;30;35;2
W;4893;1;20102;20112;37;3;30.5;35;3
W;4893;1;20102;20121;38;4;30;35;4
W;4893;1;20102;20122;39;5;28;35;5
W;4893;1;20102;20131;40;6;32;35;6
W;4893;1;20102;20132;41;-3;0;35;7
W;4893;1;20102;20141;42;8;22.5;35;8
W;4893;1;20102;20142;43;9;42;35;9
W;4893;1;20102;20151;44;10;33;35;10
W;4893;1;20102;20152;45;-5;0;35;11
L;4894;0;20102;20102;35;1;30;35;1
L;4894;0;20102;20111;36;2;30;35;2
L;4894;0;20102;20112;37;3;30;35;3
L;4894;0;20102;20121;38;4;30;35;4
L;4894;0;20102;20122;39;5;30;35;5
L;4894;0;20102;20131;40;6;30;35;6
L;4894;0;20102;20132;41;7;37.5;35;7
L;4894;0;20102;20141;42;8;30;35;8
L;4894;0;20102;20142;43;9;30;35;9
L;4894;0;20102;20151;44;-5;30;35;10
D;4895;0;20092;20092;33;1;20.5;33;1
D;4895;0;20092;20101;34;-2;0;33;2
D;4895;0;20092;20102;35;-2;8;33;3
D;4895;0;20092;20111;36;2;20.5;33;4
D;4895;0;20092;20112;37;3;21.5;33;5
D;4895;0;20092;20121;38;4;18;33;6
D;4895;0;20092;20122;39;5;19.5;33;7
D;4895;0;20092;20131;40;6;24;33;8
D;4895;0;20092;20132;41;7;12.5;33;9
D;4895;0;20092;20141;42;8;12;33;10
D;4895;0;20092;20142;43;9;28.5;33;11
D;4895;0;20092;20151;44;10;22.5;33;12
D;4895;0;20092;20152;45;10;11.5;33;13
D;4895;0;20092;20161;46;10;0;33;14
E;4896;1;20002;20002;15;1;0;15;1
E;4896;1;20002;20011;16;2;3;15;2
E;4896;1;20002;20012;17;2;18;15;3
E;4896;1;20002;20021;18;2;18;15;4
E;4896;1;20002;20022;19;3;12;15;5
E;4896;1;20002;20031;20;4;10.5;15;6
E;4896;1;20002;20032;21;4;34.5;15;7
E;4896;1;20002;20041;22;4;30;15;8
E;4896;1;20002;20042;23;5;6;15;9
E;4896;1;20002;20051;24;6;43.5;15;10
E;4896;1;20002;20052;25;7;6;15;11
E;4896;1;20002;20061;26;7;22.5;15;12
E;4896;1;20002;20062;27;8;0;15;13
E;4896;1;20002;20071;28;-4;0;15;14
E;4896;1;20002;20072;29;-4;0;15;15
E;4896;1;20002;20081;30;-4;0;15;16
E;4896;1;20002;20082;31;8;30;15;17
E;4896;1;20002;20091;32;9;12;15;18
E;4896;1;20002;20092;33;-4;0;15;19
E;4896;1;20002;20101;34;-4;0;15;20
E;4896;1;20002;20102;35;-4;0;15;21
E;4896;1;20002;20111;36;-4;0;15;22
E;4896;1;20002;20112;37;9;4.5;15;23
E;4896;1;20002;20121;38;-4;0;15;24
E;4896;1;20002;20122;39;-4;0;15;25
E;4896;1;20002;20131;40;-4;0;15;26
E;4896;1;20002;20132;41;-4;0;15;27
E;4896;1;20002;20141;42;-4;0;15;28
E;4896;1;20002;20142;43;-4;0;15;29
E;4896;1;20002;20151;44;-7;0;15;30
F;4897;0;20022;20022;19;1;27;19;1
F;4897;0;20022;20031;20;2;33;19;2
F;4897;0;20022;20032;21;3;34.5;19;3
F;4897;0;20022;20041;22;4;36;19;4
F;4897;0;20022;20042;23;5;30;19;5
F;4897;0;20022;20051;24;6;33;19;6
F;4897;0;20022;20052;25;7;27;19;7
F;4897;0;20022;20061;26;8;30;19;8
F;4897;0;20022;20062;27;-5;30;19;9
P;4898;1;20122;20122;39;1;21;39;1
P;4898;1;20122;20131;40;2;36.5;39;2
P;4898;1;20122;20132;41;3;27.5;39;3
P;4898;1;20122;20141;42;4;33;39;4
P;4898;1;20122;20142;43;5;27.5;39;5
P;4898;1;20122;20151;44;6;29;39;6
P;4898;1;20122;20152;45;7;26;39;7
P;4898;1;20122;20161;46;8;39.5;39;8
D;4899;0;20132;20132;41;1;18.5;41;1
D;4899;0;20132;20141;42;2;21.5;41;2
D;4899;0;20132;20142;43;3;23;41;3
D;4899;0;20132;20151;44;4;22.5;41;4
D;4899;0;20132;20152;45;5;16.5;41;5
D;4899;0;20132;20161;46;6;44;41;6
K;4900;0;20092;20092;33;1;23.5;33;1
K;4900;0;20092;20101;34;2;26;33;2
K;4900;0;20092;20102;35;3;22.5;33;3
K;4900;0;20092;20111;36;4;30;33;4
K;4900;0;20092;20112;37;5;30;33;5
K;4900;0;20092;20121;38;6;30;33;6
K;4900;0;20092;20122;39;7;30;33;7
K;4900;0;20092;20131;40;8;37.5;33;8
K;4900;0;20092;20132;41;9;15;33;9
K;4900;0;20092;20141;42;-5;30;33;10
V;4901;0;19982;19982;11;1;25.5;11;1
V;4901;0;19982;19991;12;2;27;11;2
V;4901;0;19982;19992;13;3;22.5;11;3
V;4901;0;19982;20001;14;-7;15;11;4
V;4902;0;19982;19982;11;1;18;11;1
V;4902;0;19982;19991;12;-7;34.5;11;2
M;4903;1;19972;19972;9;1;12;9;1
M;4903;1;19972;19981;10;2;30;9;2
M;4903;1;19972;19982;11;3;30;9;3
M;4903;1;19972;19991;12;4;34.5;9;4
M;4903;1;19972;19992;13;5;31.5;9;5
M;4903;1;19972;20001;14;6;10.5;9;6
M;4903;1;19972;20002;15;-3;0;9;7
M;4903;1;19972;20011;16;-3;19.5;9;8
M;4903;1;19972;20012;17;8;10.5;9;9
M;4903;1;19972;20021;18;9;42;9;10
M;4903;1;19972;20022;19;-5;0;9;11
C;4904;0;20142;20142;43;1;22;43;1
C;4904;0;20142;20151;44;2;39.5;43;2
C;4904;0;20142;20152;45;3;15.5;43;3
C;4904;0;20142;20161;46;4;39;43;4
E;4905;0;20062;20062;27;1;21;27;1
E;4905;0;20062;20071;28;2;39;27;2
E;4905;0;20062;20072;29;3;30;27;3
E;4905;0;20062;20081;30;4;33;27;4
E;4905;0;20062;20082;31;5;25.5;27;5
E;4905;0;20062;20091;32;6;43.5;27;6
E;4905;0;20062;20092;33;7;22;27;7
E;4905;0;20062;20101;34;8;22.5;27;8
E;4905;0;20062;20102;35;9;19.5;27;9
E;4905;0;20062;20111;36;9;15;27;10
E;4905;0;20062;20112;37;9;0;27;11
E;4905;0;20062;20121;38;-5;30;27;12
E;4906;1;20072;20072;29;1;7.5;29;1
E;4906;1;20072;20081;30;2;34;29;2
E;4906;1;20072;20082;31;3;19.5;29;3
E;4906;1;20072;20091;32;4;26.5;29;4
E;4906;1;20072;20092;33;5;24;29;5
E;4906;1;20072;20101;34;6;40;29;6
E;4906;1;20072;20102;35;7;22.5;29;7
E;4906;1;20072;20111;36;7;29.5;29;8
E;4906;1;20072;20112;37;8;46;29;9
E;4906;1;20072;20121;38;9;18;29;10
E;4906;1;20072;20122;39;9;0;29;11
E;4906;1;20072;20131;40;10;42.5;29;12
E;4906;1;20072;20132;41;-5;7.5;29;13
T;4907;1;20122;20122;39;1;22;39;1
T;4907;1;20122;20131;40;2;27.5;39;2
T;4907;1;20122;20132;41;3;28.5;39;3
T;4907;1;20122;20141;42;4;39;39;4
T;4907;1;20122;20142;43;5;30;39;5
T;4907;1;20122;20151;44;6;34.5;39;6
T;4907;1;20122;20152;45;-3;0;39;7
T;4907;1;20122;20161;46;8;33.5;39;8
M;4908;0;20082;20082;31;1;28;31;1
M;4908;0;20082;20091;32;2;33;31;2
M;4908;0;20082;20092;33;3;30;31;3
M;4908;0;20082;20101;34;4;30;31;4
M;4908;0;20082;20102;35;5;30;31;5
M;4908;0;20082;20111;36;6;32.5;31;6
M;4908;0;20082;20112;37;7;26.5;31;7
M;4908;0;20082;20121;38;8;40;31;8
M;4908;0;20082;20122;39;9;29.5;31;9
M;4908;0;20082;20131;40;10;30;31;10
M;4908;0;20082;20132;41;-5;7.5;31;11
W;4909;1;20012;20012;17;1;30;17;1
W;4909;1;20012;20021;18;2;36;17;2
W;4909;1;20012;20022;19;3;27;17;3
W;4909;1;20012;20031;20;4;30;17;4
W;4909;1;20012;20032;21;5;37.5;17;5
W;4909;1;20012;20041;22;6;21;17;6
W;4909;1;20012;20042;23;-2;0;17;7
W;4909;1;20012;20051;24;7;18;17;8
W;4909;1;20012;20052;25;8;30;17;9
W;4909;1;20012;20061;26;-7;37.5;17;10
E;4910;0;20002;20002;15;1;12;15;1
E;4910;0;20002;20011;16;2;34.5;15;2
E;4910;0;20002;20012;17;3;9;15;3
E;4910;0;20002;20021;18;4;36;15;4
E;4910;0;20002;20022;19;5;36;15;5
E;4910;0;20002;20031;20;6;19.5;15;6
E;4910;0;20002;20032;21;6;12;15;7
E;4910;0;20002;20041;22;6;30;15;8
E;4910;0;20002;20042;23;7;7.5;15;9
E;4910;0;20002;20051;24;8;43.5;15;10
E;4910;0;20002;20052;25;9;16.5;15;11
E;4910;0;20002;20061;26;9;37.5;15;12
E;4910;0;20002;20062;27;-5;0;15;13
D;4911;0;20112;20112;37;1;15.5;37;1
D;4911;0;20112;20121;38;2;14;37;2
D;4911;0;20112;20122;39;3;16;37;3
D;4911;0;20112;20131;40;4;12;37;4
D;4911;0;20112;20132;41;5;15;37;5
D;4911;0;20112;20141;42;6;18;37;6
D;4911;0;20112;20142;43;7;16;37;7
D;4911;0;20112;20151;44;8;22;37;8
D;4911;0;20112;20152;45;9;23;37;9
D;4911;0;20112;20161;46;10;4.5;37;10
V;4912;1;20062;20062;27;1;30;27;1
V;4912;1;20062;20071;28;2;30;27;2
V;4912;1;20062;20072;29;3;31.5;27;3
V;4912;1;20062;20081;30;4;27;27;4
V;4912;1;20062;20082;31;5;34.5;27;5
V;4912;1;20062;20091;32;6;33;27;6
V;4912;1;20062;20092;33;7;16.5;27;7
V;4912;1;20062;20101;34;-3;0;27;8
V;4912;1;20062;20102;35;8;0;27;9
V;4912;1;20062;20111;36;-5;30;27;10
I;4913;0;20032;20032;21;1;22.5;21;1
I;4913;0;20032;20041;22;2;37.5;21;2
I;4913;0;20032;20042;23;3;19.5;21;3
I;4913;0;20032;20051;24;4;24;21;4
I;4913;0;20032;20052;25;5;33;21;5
I;4913;0;20032;20061;26;6;42;21;6
I;4913;0;20032;20062;27;7;21;21;7
I;4913;0;20032;20071;28;-2;0;21;8
I;4913;0;20032;20072;29;-2;0;21;9
I;4913;0;20032;20081;30;8;39;21;10
I;4913;0;20032;20082;31;9;4.5;21;11
I;4913;0;20032;20091;32;-5;30;21;12
M;4914;1;20032;20032;21;1;18;21;1
M;4914;1;20032;20041;22;2;24;21;2
M;4914;1;20032;20042;23;3;7.5;21;3
M;4914;1;20032;20051;24;4;37.5;21;4
M;4914;1;20032;20052;25;-2;0;21;5
M;4914;1;20032;20061;26;5;21;21;6
M;4914;1;20032;20062;27;5;25.5;21;7
M;4914;1;20032;20071;28;6;12;21;8
M;4914;1;20032;20072;29;7;40.5;21;9
M;4914;1;20032;20081;30;7;30;21;10
M;4914;1;20032;20082;31;7;6;21;11
M;4914;1;20032;20091;32;8;42;21;12
M;4914;1;20032;20092;33;9;0;21;13
M;4914;1;20032;20101;34;-5;0;21;14
D;4915;0;20062;20062;27;1;10.5;27;1
D;4915;0;20062;20071;28;2;0;27;2
D;4915;0;20062;20072;29;3;0;27;3
D;4915;0;20062;20081;30;3;0;27;4
D;4915;0;20062;20082;31;-7;0;27;5
D;4916;0;20052;20052;25;1;22.5;25;1
D;4916;0;20052;20061;26;2;15;25;2
D;4916;0;20052;20062;27;3;12;25;3
D;4916;0;20052;20071;28;4;45;25;4
D;4916;0;20052;20072;29;5;28.5;25;5
D;4916;0;20052;20081;30;6;42;25;6
D;4916;0;20052;20082;31;7;15;25;7
D;4916;0;20052;20091;32;7;36;25;8
D;4916;0;20052;20092;33;8;22.5;25;9
D;4916;0;20052;20101;34;8;18.5;25;10
D;4916;0;20052;20102;35;9;0;25;11
D;4916;0;20052;20111;36;-4;0;25;12
D;4916;0;20052;20112;37;-4;0;25;13
D;4916;0;20052;20121;38;-4;0;25;14
D;4916;0;20052;20122;39;-7;0;25;15
M;4917;0;19982;19982;11;1;22.5;11;1
M;4917;0;19982;19991;12;2;28.5;11;2
M;4917;0;19982;19992;13;3;18;11;3
M;4917;0;19982;20001;14;4;43.5;11;4
M;4917;0;19982;20002;15;-2;0;11;5
M;4917;0;19982;20011;16;-2;6;11;6
M;4917;0;19982;20012;17;5;34.5;11;7
M;4917;0;19982;20021;18;6;21;11;8
M;4917;0;19982;20022;19;-3;0;11;9
M;4917;0;19982;20031;20;-3;4.5;11;10
M;4917;0;19982;20032;21;7;22.5;11;11
M;4917;0;19982;20041;22;8;0;11;12
M;4917;0;19982;20042;23;-5;30;11;13
M;4918;1;20062;20062;27;1;9;27;1
M;4918;1;20062;20071;28;2;42;27;2
M;4918;1;20062;20072;29;3;36;27;3
M;4918;1;20062;20081;30;4;33;27;4
M;4918;1;20062;20082;31;5;20;27;5
M;4918;1;20062;20091;32;6;40.5;27;6
M;4918;1;20062;20092;33;7;30.5;27;7
M;4918;1;20062;20101;34;8;35.5;27;8
M;4918;1;20062;20102;35;9;24.5;27;9
M;4918;1;20062;20111;36;-5;36;27;10
C;4919;0;20072;20072;29;1;15;29;1
C;4919;0;20072;20081;30;2;34;29;2
C;4919;0;20072;20082;31;3;13.5;29;3
C;4919;0;20072;20091;32;4;24.5;29;4
C;4919;0;20072;20092;33;5;4;29;5
C;4919;0;20072;20101;34;6;26.5;29;6
C;4919;0;20072;20102;35;6;30;29;7
C;4919;0;20072;20111;36;7;32;29;8
C;4919;0;20072;20112;37;9;28;29;9
C;4919;0;20072;20121;38;10;34;29;10
C;4919;0;20072;20122;39;10;48.5;29;11
C;4919;0;20072;20131;40;-5;0;29;12
N;4920;0;20042;20042;23;1;27;23;1
N;4920;0;20042;20051;24;2;33;23;2
N;4920;0;20042;20052;25;-2;0;23;3
N;4920;0;20042;20061;26;4;13.5;23;4
N;4920;0;20042;20062;27;5;19.5;23;5
N;4920;0;20042;20071;28;5;34.5;23;6
N;4920;0;20042;20072;29;5;30;23;7
N;4920;0;20042;20081;30;6;30;23;8
N;4920;0;20042;20082;31;6;7.5;23;9
N;4920;0;20042;20091;32;7;37.5;23;10
N;4920;0;20042;20092;33;8;0;23;11
N;4920;0;20042;20101;34;9;30;23;12
N;4920;0;20042;20102;35;-5;0;23;13
V;4921;0;20102;20102;35;1;15.5;35;1
V;4921;0;20102;20111;36;2;23.5;35;2
V;4921;0;20102;20112;37;3;23.5;35;3
V;4921;0;20102;20121;38;4;34;35;4
V;4921;0;20102;20122;39;5;30;35;5
V;4921;0;20102;20131;40;6;30;35;6
V;4921;0;20102;20132;41;7;30;35;7
V;4921;0;20102;20141;42;8;24;35;8
V;4921;0;20102;20142;43;9;29.5;35;9
V;4921;0;20102;20151;44;10;40.5;35;10
V;4921;0;20102;20152;45;-5;0;35;11
V;4922;0;20132;20132;41;1;10.5;41;1
V;4922;0;20132;20141;42;2;4;41;2
V;4922;0;20132;20142;43;3;0;41;3
V;4922;0;20132;20151;44;-4;0;41;4
V;4922;0;20132;20152;45;-7;0;41;5
M;4923;0;19962;19962;7;1;22.5;7;1
M;4923;0;19962;19971;8;2;19.5;7;2
M;4923;0;19962;19972;9;3;30;7;3
M;4923;0;19962;19981;10;4;36.7;7;4
M;4923;0;19962;19982;11;5;27;7;5
M;4923;0;19962;19991;12;6;12;7;6
M;4923;0;19962;19992;13;-2;0;7;7
M;4923;0;19962;20001;14;-2;12;7;8
M;4923;0;19962;20002;15;7;31.5;7;9
M;4923;0;19962;20011;16;8;44.2;7;10
M;4923;0;19962;20012;17;-4;0;7;11
M;4923;0;19962;20021;18;-5;34.5;7;12
D;4924;0;19982;19982;11;1;22.5;11;1
D;4924;0;19982;19991;12;2;36;11;2
D;4924;0;19982;19992;13;3;21;11;3
D;4924;0;19982;20001;14;4;27;11;4
D;4924;0;19982;20002;15;5;34.5;11;5
D;4924;0;19982;20011;16;6;33;11;6
D;4924;0;19982;20012;17;7;30;11;7
D;4924;0;19982;20021;18;8;30;11;8
D;4924;0;19982;20022;19;9;0;11;9
D;4924;0;19982;20031;20;-5;30;11;10
K;4925;1;19982;19982;11;1;25.5;11;1
K;4925;1;19982;19991;12;2;31.5;11;2
K;4925;1;19982;19992;13;3;25.5;11;3
K;4925;1;19982;20001;14;4;31.5;11;4
K;4925;1;19982;20002;15;5;31.5;11;5
K;4925;1;19982;20011;16;6;30;11;6
K;4925;1;19982;20012;17;-2;0;11;7
K;4925;1;19982;20021;18;-2;0;11;8
K;4925;1;19982;20022;19;7;33;11;9
K;4925;1;19982;20031;20;8;27;11;10
K;4925;1;19982;20032;21;9;37.5;11;11
K;4925;1;19982;20041;22;-5;0;11;12
K;4926;0;20002;20002;15;1;18;15;1
K;4926;0;20002;20011;16;2;39;15;2
K;4926;0;20002;20012;17;3;25.5;15;3
K;4926;0;20002;20021;18;4;37.5;15;4
K;4926;0;20002;20022;19;5;39;15;5
K;4926;0;20002;20031;20;6;28.5;15;6
K;4926;0;20002;20032;21;7;30;15;7
K;4926;0;20002;20041;22;8;31.5;15;8
K;4926;0;20002;20042;23;9;30;15;9
K;4926;0;20002;20051;24;-4;0;15;10
